"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-19","6.71","0.00","0.0","69","78","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-20","8.28","0.00","0.0","71","82","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-21","8.72","0.00","0.0","73","82","66"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-22","11.41","0.00","0.0","76","87","69"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-23","11.63","0.00","0.0","75","82","68"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-24","12.53","0.00","0.0","78","88","71"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-25","8.95","0.00","0.0","77","85","68"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-26","10.96","0.00","0.0","76","86","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-27","8.50","0.25","0.0","75","80","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-28","8.28","0.52","0.0","77","86","68"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-29","10.29","0.02","0.0","77","89","68"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-30","7.61","0.00","0.0","73","81","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-01","5.82","0.06","0.0","71","80","66"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-02","5.82","0.00","0.0","75","90","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-03","8.50","0.42","0.0","82","91","70"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-04","9.62","0.00","0.0","74","85","68"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-05","8.72","0.00","0.0","77","88","71"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-06","8.72","0.03","0.0","80","91","71"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-07","9.62","0.00","0.0","75","82","71"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-08","11.86","0.02","0.0","78","84","74"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-09","7.83","0.00","0.0","78","86","73"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-10","17.00","2.33","0.0","76","79","73"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-11","14.32","0.04","0.0","76","82","74"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-12","13.87","0.00","0.0","80","90","73"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-13","10.96","0.00","0.0","80","88","72"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-14","10.07","0.00","0.0","80","88","72"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-15","9.17","0.00","0.0","75","78","70"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-16","10.51","0.00","0.0","72","76","68"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-17","9.62","0.10","0.0","73","81","69"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-18","5.82","0.00","0.0","80","89","71"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-19","12.30","0.00","0.0","80","88","74"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-20","10.51","0.00","0.0","85","97","77"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-21","7.61","0.00","0.0","85","90","76"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-22","8.95","0.69","0.0","81","90","73"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-23","11.86","0.05","0.0","77","85","74"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-24","5.59","0.35","0.0","77","79","72"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-25","8.28","0.00","0.0","78","85","71"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-26","11.41","0.00","0.0","82","93","76"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-27","12.75","0.00","0.0","85","94","76"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-28","11.63","0.00","0.0","86","93","79"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-29","9.17","0.00","0.0","82","86","75"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-30","8.95","0.00","0.0","81","88","74"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-07-31","7.61","1.07","0.0","76","82","70"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-01","7.61","0.00","0.0","78","86","71"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-02","16.33","0.00","0.0","80","85","76"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-03","11.63","0.13","0.0","81","88","71"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-04","18.12","0.12","0.0","77","82","72"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-05","8.72","0.00","0.0","78","88","70"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-06","5.14","0.03","0.0","75","79","69"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-07","7.61","0.36","0.0","73","80","68"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-08","5.37","0.00","0.0","74","83","71"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-09","10.74","0.00","0.0","76","82","70"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-10","10.74","0.00","0.0","79","87","74"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-11","10.96","0.00","0.0","78","83","72"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-12","6.04","0.50","0.0","78","86","74"
