"","MAR.Open","MAR.High","MAR.Low","MAR.Close","MAR.Volume","MAR.Adjusted"
"2014-06-13",61.5,61.639999,61,61.380001,1340800,56.341084
"2014-06-16",61.32,61.799999,61.32,61.619999,1239000,56.561382
"2014-06-17",61.509998,62.57,61.360001,62.450001,1369500,57.323246
"2014-06-18",62.529999,63.27,62.5,63.119999,1791200,57.938229
"2014-06-19",62.310001,63.369999,62.310001,63.369999,1411500,58.167694
"2014-06-20",63.509998,64.099998,63.27,63.560001,4750000,58.342117
"2014-06-23",63.369999,63.849998,63.330002,63.790001,1390200,58.553246
"2014-06-24",63.549999,64.089996,63.119999,63.580002,2818900,58.36047
"2014-06-25",63.549999,63.630001,63.220001,63.43,2966400,58.222786
"2014-06-26",63.689999,64.089996,63.290001,63.990002,2031700,58.736824
"2014-06-27",63.889999,64.25,63.720001,63.98,2345500,58.727638
"2014-06-30",64.019997,64.309998,63.790001,64.099998,1133700,58.837791
"2014-07-01",64.32,64.760002,64.18,64.669998,1588400,59.360996
"2014-07-02",64.800003,65.389999,64.459999,65.360001,1815600,59.994347
"2014-07-03",65.260002,65.730003,65.230003,65.559998,963400,60.177925
"2014-07-07",65.5,65.879997,65.360001,65.870003,1488200,60.462471
"2014-07-08",65.529999,65.699997,64.730003,64.919998,2018600,59.590466
"2014-07-09",65.260002,65.5,64.940002,65.419998,2219300,60.049419
"2014-07-10",64.550003,65.809998,64.550003,65.57,2627600,60.187115
"2014-07-11",65.32,65.669998,64.980003,65.019997,2136300,59.682266
"2014-07-14",65.410004,65.860001,65.129997,65.32,1998800,59.957623
"2014-07-15",65.360001,65.580002,64.660004,64.980003,2346600,59.645542
"2014-07-16",65.139999,65.279999,64.620003,64.720001,1857300,59.406883
"2014-07-17",64.489998,64.849998,63.369999,63.380001,3033300,58.176895
"2014-07-18",63.779999,64.989998,63.599998,64.900002,1992400,59.572117
"2014-07-21",64.830002,65.139999,64.540001,64.970001,1565200,59.636353
"2014-07-22",65.370003,66.32,65.349998,66.110001,2189700,60.682789
"2014-07-23",65.900002,66.510002,65.779999,66.470001,1705100,61.013226
"2014-07-24",66.400002,67.080002,66.129997,66.830002,3008300,61.343681
"2014-07-25",66.720001,67.120003,66.269997,66.370003,1424200,60.921429
"2014-07-28",66.480003,67.07,66.019997,66.169998,2942500,60.73785
"2014-07-29",66.080002,66.889999,65.650002,65.690002,3228200,60.297264
"2014-07-30",66.220001,66.470001,64.360001,65.410004,3930700,60.040237
"2014-07-31",65.32,65.339996,64.459999,64.709999,3291400,59.39772
"2014-08-01",64.790001,65.269997,64.32,64.879997,2908500,59.553753
"2014-08-04",65.040001,66.25,64.900002,65.989998,2675600,60.572628
"2014-08-05",65.75,65.900002,64.769997,64.910004,2939000,59.581287
"2014-08-06",64.339996,65.029999,64.18,64.510002,2358500,59.214134
"2014-08-07",64.860001,65.489998,64.120003,64.239998,2545700,58.96629
"2014-08-08",64.739998,64.970001,64.300003,64.940002,1774800,59.608833
"2014-08-11",65.660004,65.919998,65,65.720001,1536000,60.324799
"2014-08-12",65.690002,66.010002,65.370003,65.57,1586000,60.187115
"2014-08-13",65.82,66.660004,65.199997,66.550003,1623100,61.086658
"2014-08-14",66.75,67.349998,66.550003,67.260002,1685600,61.738365
"2014-08-15",67.660004,67.690002,67.029999,67.370003,2529100,61.839344
"2014-08-18",67.870003,67.949997,67.339996,67.660004,1750700,62.105537
"2014-08-19",67.629997,68.269997,67.57,68.129997,1956700,62.722336
"2014-08-20",68,68.639999,67.870003,68.540001,1377100,63.099796
"2014-08-21",68.57,68.739998,68.330002,68.440002,1204600,63.007744
"2014-08-22",68.279999,68.559998,68.160004,68.449997,1084200,63.016933
"2014-08-25",68.639999,68.940002,68.57,68.760002,1415400,63.302353
"2014-08-26",68.980003,69.07,68.449997,68.989998,1147400,63.514099
"2014-08-27",69.040001,69.209999,68.779999,68.879997,1421400,63.412827
"2014-08-28",68.779999,69.120003,68.169998,68.989998,1382300,63.514099
"2014-08-29",69.330002,69.489998,68.849998,69.400002,1393100,63.891552
"2014-09-02",69.68,69.690002,68.800003,69.43,1833700,63.919174
"2014-09-03",69.599998,70.199997,69.440002,70,2911500,64.443916
"2014-09-04",70.440002,70.980003,70.330002,70.519997,2832400,64.922653
