"","HLT.Open","HLT.High","HLT.Low","HLT.Close","HLT.Volume","HLT.Adjusted"
"2021-06-21",124.57,126.870003,123.57,126.739998,2280900,126.177399
"2021-06-22",126.860001,126.919998,125.349998,126.099998,1394200,125.540237
"2021-06-23",125.800003,126.410004,125.400002,125.68,1007500,125.122108
"2021-06-24",126.769997,126.82,124.25,124.510002,1645200,123.957298
"2021-06-25",125.040001,125.489998,124.190002,124.480003,5399400,123.927437
"2021-06-28",124.059998,124.059998,119.510002,120.720001,2031400,120.18412
"2021-06-29",120.760002,121.209999,118.660004,118.949997,1728400,118.421974
"2021-06-30",119.059998,120.800003,118.900002,120.620003,2656800,120.084564
"2021-07-01",120.629997,123.839996,120.620003,123.620003,2466900,123.071259
"2021-07-02",124.489998,127.029999,123.760002,126.809998,2291500,126.247086
"2021-07-06",127.059998,128,124.129997,125.830002,1854700,125.271439
"2021-07-07",124.629997,126.389999,121.830002,124.449997,1958000,123.897552
"2021-07-08",122.190002,124.120003,120.68,123.129997,2458700,122.58342
"2021-07-09",124.230003,126.230003,123.389999,126.050003,1335800,125.490463
"2021-07-12",125,126.379997,124.440002,125.849998,2030500,125.291344
"2021-07-13",125.18,125.5,123.32,123.459999,1550700,122.911957
"2021-07-14",123.720001,125.32,123.230003,123.870003,1525100,123.320145
"2021-07-15",123,123.839996,121.889999,122.900002,1986700,122.354446
"2021-07-16",124.169998,125,119.410004,119.75,3002400,119.218422
"2021-07-19",116,119.459999,114.699997,117.010002,5226900,116.490585
"2021-07-20",117.339996,121.419998,116.699997,120.900002,1715000,120.363312
"2021-07-21",121.889999,125.32,121.660004,124.93,2022300,124.375427
"2021-07-22",124.080002,124.550003,122.32,123.209999,1561700,122.663063
"2021-07-23",124.599998,125.620003,123.620003,125.260002,2485600,124.703964
"2021-07-26",124.730003,127.290001,123.309998,126.669998,2676500,126.107704
"2021-07-27",125.790001,128.570007,124.790001,128.5,2487500,127.929581
"2021-07-28",129.229996,129.910004,126.599998,129.529999,2225300,128.955002
"2021-07-29",130,136.889999,127.5,134.5,3619700,133.902954
"2021-07-30",133.369995,133.809998,131.009995,131.449997,1849500,130.86647
"2021-08-02",132.470001,132.889999,127.019997,127.870003,2154700,127.302383
"2021-08-03",128.149994,128.149994,123.470001,126.080002,3137300,125.520332
"2021-08-04",124.559998,125.839996,123.110001,124.389999,2249500,123.837822
"2021-08-05",125.339996,127.349998,124.839996,126.400002,1881300,125.838905
"2021-08-06",126.769997,127.330002,125.400002,126.660004,1717100,126.097763
"2021-08-09",125.989998,126,122.809998,124.610001,1774600,124.056847
"2021-08-10",124.690002,127.25,124.150002,126.349998,1637500,125.789124
"2021-08-11",125.550003,126.339996,124.160004,125.029999,2218200,124.474983
