"","UAL.Open","UAL.High","UAL.Low","UAL.Close","UAL.Volume","UAL.Adjusted"
"2017-01-25",73.580002,74.599998,73.040001,73.589996,2786800,73.589996
"2017-01-26",74.470001,76,74.120003,75.379997,5429700,75.379997
"2017-01-27",75.75,75.980003,74.040001,74.419998,4382500,74.419998
"2017-01-30",72.989998,72.989998,70,71.720001,3905700,71.720001
"2017-01-31",71.779999,71.779999,69.339996,70.470001,5455300,70.470001
"2017-02-01",70.949997,71.860001,70.690002,71.480003,3414200,71.480003
"2017-02-02",70.730003,72.339996,70.550003,72.139999,3104900,72.139999
"2017-02-03",72.529999,73.25,72.050003,73.059998,2517900,73.059998
"2017-02-06",73.400002,74.779999,72.779999,73.5,3934400,73.5
"2017-02-07",73.959999,74,71.25,71.290001,4972000,71.290001
"2017-02-08",71.5,71.769997,70.730003,71.699997,2970600,71.699997
"2017-02-09",71.379997,73.300003,71.230003,72.980003,3759700,72.980003
"2017-02-10",73.370003,73.370003,72.199997,72.599998,1942400,72.599998
"2017-02-13",72.849998,74.160004,72.839996,73.839996,3283800,73.839996
"2017-02-14",73.440002,73.879997,72,73.739998,2538100,73.739998
"2017-02-15",75.290001,76.230003,74.82,75.75,5001600,75.75
"2017-02-16",75.93,76.300003,75.099998,75.669998,2199200,75.669998
"2017-02-17",75.489998,75.970001,74.599998,75.959999,1890800,75.959999
"2017-02-21",75.900002,76.230003,74.419998,75.410004,2663500,75.410004
"2017-02-22",75.209999,75.57,74.349998,75.43,1703600,75.43
"2017-02-23",75.870003,76.459999,73.879997,74.559998,4967300,74.559998
"2017-02-24",73.959999,75.110001,73.540001,75.080002,2056300,75.080002
"2017-02-27",74.910004,75.519997,74.349998,75.279999,1897400,75.279999
"2017-02-28",75.370003,75.370003,73.610001,74.089996,3003600,74.089996
"2017-03-01",74.639999,76.650002,74.629997,75.389999,3726500,75.389999
"2017-03-02",74.349998,74.739998,73.209999,73.279999,2862100,73.279999
"2017-03-03",73.699997,75.989998,73.440002,75.589996,4247200,75.589996
"2017-03-06",74.849998,74.849998,71.900002,73.139999,5898800,73.139999
"2017-03-07",72.690002,73.230003,72.150002,72.639999,3764000,72.639999
"2017-03-08",72.970001,73.650002,72.309998,73.440002,3508400,73.440002
"2017-03-09",73.209999,74.599998,72.43,72.540001,3732200,72.540001
"2017-03-10",72.330002,73.199997,71.639999,72.339996,4552700,72.339996
"2017-03-13",72.190002,72.699997,69.660004,69.849998,6741900,69.849998
"2017-03-14",69.379997,69.419998,66.339996,66.550003,8262400,66.550003
"2017-03-15",65,68.370003,64.32,68.169998,11321600,68.169998
"2017-03-16",67.900002,67.970001,66.440002,67.559998,8794400,67.559998
"2017-03-17",67.82,67.910004,66.650002,66.790001,5837500,66.790001
"2017-03-20",67.150002,68.050003,66.599998,67.489998,4326000,67.489998
"2017-03-21",67.760002,67.870003,65.150002,65.279999,4923300,65.279999
"2017-03-22",64.919998,66.959999,64.160004,66.949997,4928800,66.949997
"2017-03-23",67.019997,68.559998,66.900002,67.5,4444400,67.5
"2017-03-24",67.550003,68.510002,67.529999,67.93,2626900,67.93
"2017-03-27",66.720001,68.739998,66.260002,68.370003,2943100,68.370003
"2017-03-28",68.410004,71.089996,68.18,70.739998,4972900,70.739998
"2017-03-29",70.449997,71,69.529999,69.849998,3409900,69.849998
"2017-03-30",69.660004,70.959999,69.660004,70.779999,2462400,70.779999
"2017-03-31",70.68,71.190002,70.449997,70.639999,2406800,70.639999
"2017-04-03",70.690002,71.419998,69.419998,71.349998,2947500,71.349998
"2017-04-04",70.760002,71.080002,69.580002,69.760002,2658300,69.760002
"2017-04-05",70.230003,71.349998,69.809998,70.059998,2640300,70.059998
"2017-04-06",70.160004,70.93,69.559998,70.220001,1874200,70.220001
"2017-04-07",69.970001,71.019997,69.720001,70.879997,2471100,70.879997
"2017-04-10",70.550003,72.099998,70.25,71.519997,3460400,71.519997
"2017-04-11",70.150002,70.720001,68.360001,70.709999,17696500,70.709999
"2017-04-12",71.650002,71.730003,69.690002,69.93,7622900,69.93
"2017-04-13",69.900002,70.139999,69.07,69.07,5185200,69.07
"2017-04-17",69.510002,70.809998,69.010002,70.769997,4761900,70.769997
"2017-04-18",70.970001,70.980003,67.550003,67.75,11002900,67.75
"2017-04-19",68.470001,69.790001,67.769997,69.290001,6768400,69.290001
"2017-04-20",69.809998,70.089996,69.510002,69.800003,4103700,69.800003
"2017-04-21",69.699997,69.889999,68.879997,69.559998,3274100,69.559998
"2017-04-24",70.5,71.029999,70.150002,71,4638900,71
"2017-04-25",71.400002,72.07,70.760002,70.970001,3519800,70.970001
"2017-04-26",71.089996,71.919998,70.660004,71.330002,4739700,71.330002
"2017-04-27",69.769997,70.760002,68.620003,70.699997,5512200,70.699997
"2017-04-28",70.870003,71.260002,70,70.209999,2909300,70.209999
"2017-05-01",70.559998,71.480003,70.239998,70.269997,3317400,70.269997
"2017-05-02",70.43,73.989998,70.400002,73.940002,5434700,73.940002
"2017-05-03",73.300003,74.449997,73.099998,74.209999,2690300,74.209999
"2017-05-04",74.559998,75.169998,73.919998,74.910004,2886300,74.910004
"2017-05-05",74.970001,75.360001,74.650002,75.300003,2166200,75.300003
"2017-05-08",75.339996,75.849998,74.769997,74.980003,3082000,74.980003
"2017-05-09",75.639999,79.150002,75.639999,78.550003,5841200,78.550003
"2017-05-10",78.480003,78.959999,78.019997,78.550003,3308400,78.550003
"2017-05-11",78.18,78.190002,76.529999,77.360001,2780900,77.360001
"2017-05-12",76.75,77.449997,76.209999,76.410004,2051300,76.410004
"2017-05-15",76.199997,78.339996,76.190002,77.790001,3461700,77.790001
"2017-05-16",78.220001,79.099998,77.440002,79.059998,3320400,79.059998
"2017-05-17",79.059998,79.059998,75.940002,76.18,5673000,76.18
"2017-05-18",76.32,77.18,75.620003,75.980003,3559600,75.980003
