"SP500.203020.Open","SP500.203020.High","SP500.203020.Low","SP500.203020.Close","SP500.203020.Volume","SP500.203020.Adjusted","Date"
184.550003,187.100006,183.559998,185.869995,113999500,185.869995,"2020-10-07"
188.720001,191.160004,184.080002,188.710007,146211400,188.710007,"2020-10-08"
188.669998,192.080002,186.649994,190.380005,119527100,190.380005,"2020-10-09"
189.309998,190.369995,187.270004,188.039993,80885900,188.039993,"2020-10-12"
184.149994,186.759995,183.460007,184.270004,112709200,184.270004,"2020-10-13"
184.639999,188.050003,184.509995,185.139999,77253300,185.139999,"2020-10-14"
182.910004,182.910004,178.940002,182.110001,75107500,182.110001,"2020-10-15"
182.929993,185.449997,182.639999,184.559998,69198200,184.559998,"2020-10-16"
186.210007,190.520004,185.169998,186.240005,108193700,186.240005,"2020-10-19"
188.899994,191.479996,186.679993,188.570007,91606400,188.570007,"2020-10-20"
187.679993,188.600006,185.240005,186.559998,72359000,186.559998,"2020-10-21"
187.630005,197.649994,187.630005,196.449997,156483500,196.449997,"2020-10-22"
195.759995,199.300003,192.820007,198.589996,140513800,198.589996,"2020-10-23"
195.190002,195.479996,184.75,187.539993,139444300,187.539993,"2020-10-26"
185.979996,187.5,180.949997,181.149994,103708700,181.149994,"2020-10-27"
175.410004,177.679993,170.270004,173.869995,122036200,173.869995,"2020-10-28"
173.029999,180.610001,173.029999,179.789993,87581700,179.789993,"2020-10-29"
178.789993,181.740005,176.630005,180.309998,99161200,180.309998,"2020-10-30"
180.720001,180.720001,174.800003,177.580002,82148200,177.580002,"2020-11-02"
181.029999,182.520004,179.059998,179.970001,81168800,179.970001,"2020-11-03"
179.169998,182.449997,175.479996,178.059998,83047200,178.059998,"2020-11-04"
180.399994,188.289993,180.139999,187.470001,93085800,187.470001,"2020-11-05"
185.600006,186.389999,181.830002,183.619995,68382600,183.619995,"2020-11-06"
219.149994,226.630005,204.210007,210.649994,384120500,210.649994,"2020-11-09"
208.300003,212.770004,205.240005,210.300003,200025000,210.300003,"2020-11-10"
209.220001,209.600006,199.949997,201.759995,134141800,201.759995,"2020-11-11"
196.020004,203.130005,193.960007,195.910004,133110000,195.910004,"2020-11-12"
198.009995,207.210007,197.940002,206.289993,105498500,206.289993,"2020-11-13"
218.220001,218.220001,210.960007,215.309998,175552700,215.309998,"2020-11-16"
211.080002,216.850006,208.869995,214.350006,107876400,214.350006,"2020-11-17"
218.869995,223.139999,215.339996,215.339996,155497800,215.339996,"2020-11-18"
214.149994,217.910004,213.690002,216.399994,97985400,216.399994,"2020-11-19"
216.220001,216.619995,211.350006,212.550003,93111000,212.550003,"2020-11-20"
215.539993,221.179993,214.339996,220.830002,146754700,220.830002,"2020-11-23"
229.820007,234.75,225.990005,233.919998,221420400,233.919998,"2020-11-24"
231.889999,235.570007,228.75,234.800003,147223000,234.800003,"2020-11-25"
236.289993,238.520004,232.279999,232.929993,94674900,232.929993,"2020-11-27"
