Date,num_vaccine,Distributor
07/04/2021,46137300.0,Janssen
07/05/2021,46137300.0,Janssen
07/06/2021,46137300.0,Janssen
07/06/2022,62884100.0,Janssen
07/07/2021,46137300.0,Janssen
07/08/2021,46137300.0,Janssen
07/09/2021,46137300.0,Janssen
07/10/2021,46139300.0,Janssen
07/11/2021,46139300.0,Janssen
07/12/2021,46139300.0,Janssen
07/13/2021,46139300.0,Janssen
07/13/2022,62954300.0,Janssen
07/14/2021,46188400.0,Janssen
07/15/2021,46188400.0,Janssen
07/16/2021,46188400.0,Janssen
07/17/2021,46188400.0,Janssen
07/18/2021,46188400.0,Janssen
07/19/2021,46188400.0,Janssen
07/20/2021,46188400.0,Janssen
07/20/2022,62998600.0,Janssen
07/21/2021,46188400.0,Janssen
07/22/2021,46188400.0,Janssen
07/23/2021,46188400.0,Janssen
07/24/2021,46188400.0,Janssen
07/25/2021,46188400.0,Janssen
07/26/2021,46188400.0,Janssen
07/27/2021,46188400.0,Janssen
07/27/2022,63066200.0,Janssen
07/28/2021,46188400.0,Janssen
07/29/2021,46188400.0,Janssen
07/30/2021,46188400.0,Janssen
07/31/2021,46188400.0,Janssen
08/01/2021,46188400.0,Janssen
08/02/2021,46188400.0,Janssen
08/03/2021,46188400.0,Janssen
08/03/2022,63109300.0,Janssen
08/04/2021,46188400.0,Janssen
08/05/2021,46188400.0,Janssen
08/06/2021,46188400.0,Janssen
08/07/2021,46188400.0,Janssen
08/08/2021,46188400.0,Janssen
08/09/2021,46188400.0,Janssen
08/10/2021,46188400.0,Janssen
08/10/2022,63184800.0,Janssen
08/11/2021,46188400.0,Janssen
08/12/2021,46188400.0,Janssen
08/13/2021,46188400.0,Janssen
08/14/2021,46188400.0,Janssen
08/15/2021,46188400.0,Janssen
08/16/2021,46188400.0,Janssen
08/17/2021,46188400.0,Janssen
08/17/2022,63213900.0,Janssen
08/18/2021,46188400.0,Janssen
08/19/2021,46188400.0,Janssen
08/20/2021,46188400.0,Janssen
08/21/2021,46188400.0,Janssen
08/22/2021,46188400.0,Janssen
08/23/2021,46188400.0,Janssen
08/24/2021,46188400.0,Janssen
08/24/2022,63272400.0,Janssen
08/25/2021,46188400.0,Janssen
08/26/2021,46188400.0,Janssen
08/27/2021,46188400.0,Janssen
08/28/2021,46188400.0,Janssen
08/29/2021,46188400.0,Janssen
08/30/2021,46188400.0,Janssen
08/31/2021,46209400.0,Janssen
08/31/2022,63303500.0,Janssen
09/01/2021,46209400.0,Janssen
09/02/2021,46209400.0,Janssen
09/03/2021,46209400.0,Janssen
09/04/2021,46209400.0,Janssen
09/05/2021,46209400.0,Janssen
09/06/2021,46209400.0,Janssen
09/07/2021,46209400.0,Janssen
09/07/2022,63347300.0,Janssen
09/08/2021,46209400.0,Janssen
09/09/2021,46209400.0,Janssen
09/10/2021,46209700.0,Janssen
09/11/2021,46209700.0,Janssen
09/12/2021,46209700.0,Janssen
09/13/2021,46209700.0,Janssen
09/14/2021,46209700.0,Janssen
09/14/2022,63400500.0,Janssen
09/15/2021,46722300.0,Janssen
09/16/2021,46873400.0,Janssen
09/17/2021,47100500.0,Janssen
09/18/2021,47421800.0,Janssen
09/19/2021,47421800.0,Janssen
09/20/2021,47421800.0,Janssen
09/21/2021,47552800.0,Janssen
09/21/2022,63457400.0,Janssen
09/22/2021,47686600.0,Janssen
09/23/2021,47898200.0,Janssen
09/24/2021,48050100.0,Janssen
09/25/2021,48347100.0,Janssen
09/26/2021,48347100.0,Janssen
09/27/2021,48347100.0,Janssen
09/28/2021,48505300.0,Janssen
09/28/2022,63505400.0,Janssen
09/29/2021,48815000.0,Janssen
09/30/2021,48819300.0,Janssen
10/01/2021,49124000.0,Janssen
10/02/2021,49297900.0,Janssen
10/03/2021,49297900.0,Janssen
10/04/2021,49299100.0,Janssen
10/05/2021,49382900.0,Janssen
10/05/2022,63554200.0,Janssen
10/06/2021,49579300.0,Janssen
10/07/2021,49722700.0,Janssen
10/08/2021,49886300.0,Janssen
10/09/2021,50070700.0,Janssen
10/10/2021,50071300.0,Janssen
10/11/2021,50071300.0,Janssen
10/12/2021,50121000.0,Janssen
10/12/2022,63590100.0,Janssen
10/13/2021,50293700.0,Janssen
10/14/2021,50380700.0,Janssen
10/15/2021,50559100.0,Janssen
10/16/2021,50718900.0,Janssen
10/17/2021,50720100.0,Janssen
10/18/2021,50721300.0,Janssen
10/19/2021,50844500.0,Janssen
10/19/2022,63620900.0,Janssen
10/20/2021,51037100.0,Janssen
10/21/2021,51350300.0,Janssen
10/22/2021,49063300.0,Janssen
10/23/2021,49330600.0,Janssen
10/24/2021,49330600.0,Janssen
10/25/2021,49330600.0,Janssen
10/26/2021,49640900.0,Janssen
10/26/2022,63641000.0,Janssen
10/27/2021,50290200.0,Janssen
10/28/2021,50787600.0,Janssen
10/29/2021,51727100.0,Janssen
10/30/2021,52029200.0,Janssen
10/31/2021,52029200.0,Janssen
11/01/2021,52029200.0,Janssen
11/02/2021,52235400.0,Janssen
11/02/2022,65910600.0,Janssen
11/03/2021,52403100.0,Janssen
11/04/2021,52651100.0,Janssen
11/05/2021,52815700.0,Janssen
11/06/2021,53002900.0,Janssen
11/07/2021,52991600.0,Janssen
11/08/2021,52991800.0,Janssen
11/09/2021,53275700.0,Janssen
11/09/2022,63681500.0,Janssen
11/10/2021,53534500.0,Janssen
11/11/2021,53752800.0,Janssen
11/12/2021,53985400.0,Janssen
11/13/2021,54190100.0,Janssen
11/14/2021,54191500.0,Janssen
11/15/2021,54191500.0,Janssen
11/16/2021,54444900.0,Janssen
11/16/2022,63703700.0,Janssen
11/17/2021,54631800.0,Janssen
11/18/2021,54837400.0,Janssen
11/19/2021,55240000.0,Janssen
11/20/2021,55657500.0,Janssen
11/21/2021,55657700.0,Janssen
11/22/2021,55657700.0,Janssen
11/23/2021,55864300.0,Janssen
11/23/2022,63716300.0,Janssen
11/24/2021,55939200.0,Janssen
11/25/2021,55939200.0,Janssen
11/26/2021,55939200.0,Janssen
11/27/2021,55939200.0,Janssen
11/28/2021,55939200.0,Janssen
11/29/2021,55939400.0,Janssen
11/30/2021,56262400.0,Janssen
11/30/2022,63732300.0,Janssen
12/01/2021,56468000.0,Janssen
12/02/2021,56714100.0,Janssen
12/03/2021,56993800.0,Janssen
12/04/2021,57218200.0,Janssen
12/05/2021,57218400.0,Janssen
12/06/2021,57218400.0,Janssen
12/07/2021,57399500.0,Janssen
12/07/2022,63745300.0,Janssen
12/08/2021,57552100.0,Janssen
12/09/2021,57792800.0,Janssen
12/10/2021,57886000.0,Janssen
12/11/2021,58384000.0,Janssen
12/12/2021,58384200.0,Janssen
12/13/2020,0.0,Janssen
12/13/2021,58384200.0,Janssen
12/14/2020,0.0,Janssen
12/14/2021,58549800.0,Janssen
12/14/2022,63764300.0,Janssen
12/15/2020,0.0,Janssen
12/15/2021,58684400.0,Janssen
12/16/2020,0.0,Janssen
12/16/2021,58932800.0,Janssen
12/17/2020,0.0,Janssen
12/17/2021,59054400.0,Janssen
12/18/2020,0.0,Janssen
12/18/2021,59259300.0,Janssen
12/19/2020,0.0,Janssen
12/19/2021,59259500.0,Janssen
12/20/2020,0.0,Janssen
12/20/2021,59259500.0,Janssen
12/21/2020,0.0,Janssen
12/21/2021,59445600.0,Janssen
12/21/2022,63778900.0,Janssen
12/22/2020,0.0,Janssen
12/22/2021,59537600.0,Janssen
12/23/2020,0.0,Janssen
12/23/2021,59676400.0,Janssen
12/24/2020,0.0,Janssen
12/24/2021,59676400.0,Janssen
12/25/2020,0.0,Janssen
12/25/2021,59676400.0,Janssen
12/26/2020,0.0,Janssen
12/26/2021,59676400.0,Janssen
12/27/2020,0.0,Janssen
12/27/2021,59676400.0,Janssen
12/28/2020,0.0,Janssen
12/28/2021,59676600.0,Janssen
12/28/2022,63782700.0,Janssen
12/29/2020,0.0,Janssen
12/29/2021,59799500.0,Janssen
12/30/2020,0.0,Janssen
12/30/2021,59840500.0,Janssen
12/31/2020,0.0,Janssen
12/31/2021,59841100.0,Janssen
01/01/2021,0.0,Moderna
01/01/2022,445807920.0,Moderna
01/02/2021,0.0,Moderna
01/02/2022,445372700.0,Moderna
01/03/2021,0.0,Moderna
01/03/2022,445044220.0,Moderna
01/04/2021,0.0,Moderna
01/04/2022,445046380.0,Moderna
01/04/2023,694551460.0,Moderna
01/05/2021,0.0,Moderna
01/05/2022,448284300.0,Moderna
01/06/2021,0.0,Moderna
01/06/2022,474958380.0,Moderna
01/07/2021,0.0,Moderna
01/07/2022,474958380.0,Moderna
01/08/2021,0.0,Moderna
01/08/2022,478623980.0,Moderna
01/09/2021,0.0,Moderna
01/09/2022,478672520.0,Moderna
01/10/2021,0.0,Moderna
01/10/2022,478677800.0,Moderna
01/11/2021,0.0,Moderna
01/11/2022,479757580.0,Moderna
01/11/2023,698043460.0,Moderna
01/12/2021,0.0,Moderna
01/12/2022,482227080.0,Moderna
01/13/2021,0.0,Moderna
01/13/2022,483233680.0,Moderna
01/14/2021,0.0,Moderna
01/14/2022,484753980.0,Moderna
01/15/2021,0.0,Moderna
01/15/2022,485911980.0,Moderna
01/16/2021,0.0,Moderna
01/16/2022,485911780.0,Moderna
01/17/2021,0.0,Moderna
01/17/2022,485911780.0,Moderna
01/18/2021,0.0,Moderna
01/18/2022,485914380.0,Moderna
01/18/2023,700031160.0,Moderna
01/19/2021,0.0,Moderna
01/19/2022,486788580.0,Moderna
01/20/2021,0.0,Moderna
01/20/2022,488744980.0,Moderna
01/21/2021,0.0,Moderna
01/21/2022,489718880.0,Moderna
01/22/2021,0.0,Moderna
01/22/2022,490481980.0,Moderna
01/23/2021,0.0,Moderna
01/23/2022,490483180.0,Moderna
01/24/2021,0.0,Moderna
01/24/2022,490483180.0,Moderna
01/25/2021,0.0,Moderna
01/25/2022,491177280.0,Moderna
01/25/2023,702061560.0,Moderna
01/26/2021,0.0,Moderna
01/26/2022,491605160.0,Moderna
01/27/2021,0.0,Moderna
01/27/2022,492658760.0,Moderna
01/28/2021,0.0,Moderna
01/28/2022,493237960.0,Moderna
01/29/2021,0.0,Moderna
01/29/2022,493804860.0,Moderna
01/30/2021,0.0,Moderna
01/30/2022,493804860.0,Moderna
01/31/2021,0.0,Moderna
01/31/2022,493804860.0,Moderna
02/01/2021,0.0,Moderna
02/01/2022,494247360.0,Moderna
02/01/2023,703300560.0,Moderna
02/02/2021,0.0,Moderna
02/02/2022,495025580.0,Moderna
02/03/2021,0.0,Moderna
02/03/2022,496224380.0,Moderna
02/04/2021,0.0,Moderna
02/04/2022,496234180.0,Moderna
02/05/2021,0.0,Moderna
02/05/2022,496234780.0,Moderna
02/06/2021,0.0,Moderna
02/06/2022,496234780.0,Moderna
02/07/2021,0.0,Moderna
02/07/2022,496234780.0,Moderna
02/08/2021,0.0,Moderna
02/08/2022,497503580.0,Moderna
02/09/2021,0.0,Moderna
02/09/2022,498624680.0,Moderna
02/10/2021,0.0,Moderna
02/10/2022,499439680.0,Moderna
02/11/2021,0.0,Moderna
02/11/2022,500141880.0,Moderna
02/12/2021,0.0,Moderna
02/12/2022,500569080.0,Moderna
02/13/2021,0.0,Moderna
02/13/2022,500575680.0,Moderna
02/14/2021,0.0,Moderna
02/14/2022,500575680.0,Moderna
02/15/2021,0.0,Moderna
02/15/2022,500919080.0,Moderna
02/16/2021,0.0,Moderna
02/16/2022,501165080.0,Moderna
02/17/2021,0.0,Moderna
02/17/2022,514464660.0,Moderna
02/18/2021,0.0,Moderna
02/18/2022,514941860.0,Moderna
02/19/2021,0.0,Moderna
02/19/2022,515420760.0,Moderna
02/20/2021,0.0,Moderna
02/20/2022,515420760.0,Moderna
02/21/2021,0.0,Moderna
02/21/2022,515420760.0,Moderna
02/22/2021,0.0,Moderna
02/22/2022,515773160.0,Moderna
